WKT,ID,名前,EN,住所,URL,無人化日,廃止日,スタンプ設置,住所判定用
"POINT (142.879789 43.013797)",24203.0,JR十勝清水駅,JR Tokachi-Shimizu Station,〒089-0136 北海道上川郡清水町本通1丁目,https://stamp.funakiya.com/jr-tokachishimizu.html,,,設置あり,43.013797, 142.879789
"POINT (139.7407 35.6355)",24204.0,JR高輪ゲートウェイ駅,JR Takanawa Gateway Station,〒108-0075 東京都港区港南2-10-145,https://stamp.funakiya.com/jr-takanawagateway.html,,,設置あり,35.6355,139.7407
"POINT (140.763711 42.550786)",24208.0,JR洞爺駅,JR Tōya Station,〒049-5611 北海道虻田郡洞爺湖町旭町19-1,https://stamp.funakiya.com/jr-toya.html,,,設置あり,42.550786, 140.763711
"POINT (141.180444 42.452083)",24209.0,JR登別駅,JR Noboribetsu Station,〒059-0466 北海道登別市登別港町1-4-1,https://stamp.funakiya.com/jr-noboribetsu.html,,,設置あり,42.452083, 141.180444
"POINT (140.989375 42.317194)",24210.0,JR母恋駅,JR Bokoi Station,〒051-0004 北海道室蘭市母恋北町1-1-1,https://stamp.funakiya.com/jr-bokoi.html,,,設置あり,42.317194, 140.989375
"POINT (141.814144 42.7655)",24211.0,JR早来駅,JR Hayakita Station,〒059-1501 北海道勇払郡安平町早来大町,https://stamp.funakiya.com/jr-hayakita.html,,,設置あり,42.7655, 141.814144
"POINT (137.818672 35.190933)",24214.0,JR大嵐駅,JR Ōzore Station,〒431-4101 静岡県浜松市天竜区水窪町奥領家188,https://stamp.funakiya.com/jr-ozore.html,1984/2/24 無人化,,設置あり,35.190933, 137.818672
"POINT (140.896189 38.165331)",24242.0,仙台空港鉄道杜せきのした駅,Sendai Airport Transit Morisekinoshita Station,〒981-1227 宮城県名取市杜せきのした5-34,https://stamp.funakiya.com/sat-morisekinoshita.html,,,設置あり,38.165331, 140.896189
"POINT (140.917217 38.159708)",24243.0,仙台空港鉄道美田園駅,Sendai Airport Transit Mitazono Station,〒981-1217 宮城県名取市美田園5-29,https://stamp.funakiya.com/sat-mitazono.html,,,設置あり,38.159708, 140.917217
"POINT (141.323444 43.098167)",24257.0,JR新川駅,JR Shinkawa Station,〒001-0924 北海道札幌市北区新川4条1-3,https://stamp.funakiya.com/jr-shinkawa.html,,,設置あり,43.098167, 141.323444
"POINT (141.364383 43.145144)",24258.0,JR篠路駅,JR Shinoro Station,〒002-8024 北海道札幌市北区篠路4条7-2,https://stamp.funakiya.com/jr-shinoro.html,,,設置あり,43.145144, 141.364383
"POINT (141.381167 43.155597)",24261.0,JR拓北駅,JR Takuhoku Station,〒002-8066 北海道札幌市北区拓北6条3-9-1,https://stamp.funakiya.com/jr-takuhoku.html,,,設置あり,43.155597, 141.381167
"POINT (141.398319 43.155283)",24262.0,JRあいの里教育大駅,JR Ainosato-Kyōikudai Station,〒002-8071 北海道札幌市北区あいの里1条5-1-2,https://stamp.funakiya.com/jr-ainosatokyoikudai.html,,,設置あり,43.155283, 141.398319
"POINT (136.983725 36.684044)",24275.0,JR戸出駅,JR Toide Station,〒939-1104 富山県高岡市戸出町2-4-1,https://stamp.funakiya.com/jr-toide.html,,,設置あり,36.684044, 136.983725
"POINT (136.923192 36.588533)",24276.0,JR福野駅,JR Fukuno Station,〒939-1571 富山県南砺市松原新1767,https://stamp.funakiya.com/jr-fukuno.html,,,設置あり,36.588533, 136.923192
"POINT (136.878153 36.558106)",24277.0,JR福光駅,JR Fukumitsu Station,〒939-1732 富山県南砺市荒木5327,https://stamp.funakiya.com/jr-fukumitsu.html,,,設置あり,36.558106, 136.878153
