WKT,ID,名前,EN,住所,URL,無人化日,廃止日,スタンプ設置,住所判定用
"POINT (138.82548773066935 34.757784024151036)",16804.0,道の駅花の三聖苑伊豆松崎,Michinoeki Hana-no-sanseien,〒410-3604 静岡県賀茂郡松崎町大澤20-1,https://stamp.funakiya.com/miti-izumatsuzaki.html,,,設置あり,34.757784024151036, 138.82548773066935
"POINT (138.92185699230077 34.855568422312196)",16807.0,道の駅天城越え,Michinoeki Amagi-goe,〒410-3206 静岡県伊豆市湯ヶ島892-6,https://stamp.funakiya.com/miti-amagigoe.html,,,設置あり,34.855568422312196, 138.92185699230077
"POINT (139.0942991312326 34.985297516708734)",16813.0,道の駅伊東マリンタウン,Michinoeki Ito Marine Town,〒414-0002 静岡県伊東市湯川571-19,https://stamp.funakiya.com/miti-ito.html,,,設置あり,34.985297516708734, 139.0942991312326
"POINT (136.36754504409024 36.23786873398844)",17587.0,道の駅山中温泉 ゆけむり健康村,Michinoeki Yamanakaonsen,〒922-0128 石川県加賀市山中温泉こおろぎ町イ19,https://stamp.funakiya.com/miti-yamanakaonsen.html,,,設置あり,36.23786873398844, 136.36754504409024
"POINT (136.46268742573952 36.36963659836866)",17588.0,道の駅こまつ木場潟,Michinoeki Komatsu Kibagata,〒923-0843 石川県小松市蓮代寺町ケ2番2,https://stamp.funakiya.com/miti-komatsu.html,,,設置あり,36.36963659836866, 136.46268742573952
"POINT (136.6490573598252 36.65922756718231)",17600.0,道の駅内灘サンセットパーク,Michinoeki Uchinada Sunset Park,〒920-0265 石川県河北郡内灘町大学1-4-1,https://stamp.funakiya.com/miti-uchinada.html,,,設置あり,36.65922756718231, 136.6490573598252
"POINT (136.76780616824777 36.662710943795545)",17601.0,道の駅倶利伽羅 源平の郷,Michinoeki Kurikara Genpeinosato,〒929-0426 石川県河北郡津幡町竹橋西270,https://stamp.funakiya.com/miti-kurikara.html,,,設置あり,36.662710943795545, 136.76780616824777
"POINT (139.76896128510498 36.0251006209455)",17731.0,まちの駅・道の駅アグリパークゆめすぎと,Michinoeki Agricultural Park Yume Sugito,〒345-0014 埼玉県北葛飾郡杉戸町才羽823-2,https://stamp.funakiya.com/miti-yumesugito.html,,,設置あり,36.0251006209455, 139.76896128510498
"POINT (139.64518375876048 36.17033250928681)",17732.0,道の駅童謡のふる里おおとね,Michinoeki Doyo no Furusato Otone,〒349-1151 埼玉県加須市佐波258-1,https://stamp.funakiya.com/miti-ootone.html,,,設置あり,36.17033250928681, 139.64518375876048
"POINT (139.66260627524863 36.21100604143756)",17733.0,道の駅かぞわたらせ,Michinoeki Kazo Watarase,〒349-1202 埼玉県加須市小野袋1737,https://stamp.funakiya.com/miti-kitakawabe.html,,,設置あり,36.21100604143756, 139.66260627524863
"POINT (139.51081049858365 36.188809037863244)",17734.0,道の駅はにゅう,Michinoeki Hanyu,〒348-0041 埼玉県羽生市上新郷7066,https://stamp.funakiya.com/miti-hanyu.html,,,設置あり,36.188809037863244, 139.51081049858365
"POINT (139.24125342067236 36.2185149939534)",17735.0,道の駅おかべ,Michinoeki Okabe,〒369-0201 埼玉県深谷市岡688-1,https://stamp.funakiya.com/miti-okabe.html,,,設置あり,36.2185149939534, 139.24125342067236
"POINT (139.28899166299942 36.151529867099384)",17736.0,道の駅かわもと,Michinoeki Kawamoto,〒369-1101 埼玉県深谷市長在家1279-2,https://stamp.funakiya.com/miti-kawamoto.html,,,設置あり,36.151529867099384, 139.28899166299942
"POINT (139.22730274384767 36.12185047929316)",17737.0,道の駅はなぞの,Michinoeki Hanazono,〒369-1246 埼玉県深谷市小前田458-1,https://stamp.funakiya.com/miti-hanazono.html,,,設置あり,36.12185047929316, 139.22730274384767
"POINT (134.8159605755895 35.38226721490949)",17815.0,道の駅やぶ,Michinoeki Yabu,〒667-0112 兵庫県養父市養父市場1294-77,https://stamp.funakiya.com/miti-yabu.html,,,設置あり,35.38226721490949, 134.8159605755895
"POINT (134.9319574740421 35.63044515880548)",17822.0,道の駅くみはまSANKAIKAN,Michinoeki Kumihama Sankaikan,〒629-3438 京都府京丹後市久美浜町浦明1709,https://stamp.funakiya.com/miti-kumihama.html,,,設置あり,35.63044515880548, 134.9319574740421
"POINT (135.59604150490725 35.48902869959576)",17840.0,道の駅シーサイド高浜,Michinoeki Seaside Takahama,〒919-2205 福井県大飯郡高浜町下車持46-10,https://stamp.funakiya.com/miti-seaside-takahama.html,,,設置あり,35.48902869959576, 135.59604150490725
"POINT (135.62969754713086 35.48143402199934)",17841.0,道の駅うみんぴあ大飯,Michinoeki Uminpia Ohi,〒919-2107 福井県大飯郡おおい町成海1-1-2,https://stamp.funakiya.com/miti-uminpia-ooi.html,,,設置あり,35.48143402199934, 135.62969754713086
"POINT (135.3144625961515 35.45033375618917)",17843.0,道の駅舞鶴港とれとれセンター,Michinoeki Maizuru Port Toretore Center,〒624-0946 京都府舞鶴市下福井905,https://stamp.funakiya.com/miti-maizurukou.html,,,設置あり,35.45033375618917, 135.3144625961515
"POINT (135.0936691151108 35.481541920834644)",17852.0,道の駅シルクのまち かや,Michinoeki Silk Town Kaya,〒629-2422 京都府与謝郡与謝野町滝98,https://stamp.funakiya.com/miti-silk-kaya.html,,,設置あり,35.481541920834644, 135.0936691151108
"POINT (135.2910702964041 35.67453239094083)",17855.0,道の駅舟屋の里 伊根,Michinoeki Funaya no Sato・Ine,〒626-0424 京都府与謝郡伊根町亀島459,https://stamp.funakiya.com/miti-funaya-ine.html,,,設置あり,35.67453239094083, 135.2910702964041
"POINT (135.105280825012 35.73896335625842)",17856.0,道の駅てんきてんき丹後,Michinoeki Tenkitenki Tango,〒627-0221 京都府京丹後市丹後町竹野313-1,https://stamp.funakiya.com/miti-tenkitenki-tango.html,,,設置あり,35.73896335625842, 135.105280825012
"POINT (134.56006851527917 35.64917087017976)",17862.0,道の駅あまるべ,Michinoeki Amarube,〒669-6671 兵庫県美方郡香美町香住区余部1723-4,https://stamp.funakiya.com/miti-amarube.html,,,設置あり,35.64917087017976, 134.56006851527917
"POINT (134.57042125216458 35.55643980758338)",17863.0,道の駅あゆの里矢田川,Michinoeki Ayu no Sato Yadagawa,〒667-1361 兵庫県美方郡香美町村岡区長瀬933-1,https://stamp.funakiya.com/miti-yadagawa.html,,,設置あり,35.55643980758338, 134.57042125216458
"POINT (134.67487711867014 35.49931203583827)",17864.0,道の駅神鍋高原,Michinoeki Kan-nabe Highlands,〒669-5372 兵庫県豊岡市日高町栗栖野59-13,https://stamp.funakiya.com/miti-kannabe.html,,,設置あり,35.49931203583827, 134.67487711867014
"POINT (134.60286774915457 35.46189860026024)",17865.0,道の駅村岡ファームガーデン,Michinoeki Muraoka Farm Garden,〒667-1321 兵庫県美方郡香美町村岡区大糠32-1,https://stamp.funakiya.com/miti-muraoka-farm.html,,,設置あり,35.46189860026024, 134.60286774915457
"POINT (134.59984091829224 35.411353924976694)",17866.0,道の駅ハチ北,Michinoeki Hachikita,〒667-1334 兵庫県美方郡香美町村岡区福岡608-1,https://stamp.funakiya.com/miti-hachikita.html,,,設置あり,35.411353924976694, 134.59984091829224
"POINT (134.7424721769204 35.39403965219612)",17867.0,道の駅ようか但馬蔵,Michinoeki Yokatajimakura,〒667-0043 兵庫県養父市八鹿町高柳241-1,https://stamp.funakiya.com/miti-youkatajimanokura.html,,,設置あり,35.39403965219612, 134.7424721769204
"POINT (134.78424305656637 35.379368505708555)",17868.0,道の駅但馬楽座,Michinoeki Tajimarakuza,〒667-0131 兵庫県養父市上野299,https://stamp.funakiya.com/miti-tajimarakuza.html,,,設置あり,35.379368505708555, 134.78424305656637
"POINT (134.87004290450344 35.31134105100165)",17869.0,道の駅但馬のまほろば,Michinoeki Tajima no mahoroba,〒669-5153 兵庫県朝来市山東町大月92-6,https://stamp.funakiya.com/miti-tajimanomahoroba.html,,,設置あり,35.31134105100165, 134.87004290450344
"POINT (134.92954099847816 35.33825444809642)",17870.0,道の駅農匠の郷やくの,Michinoeki Yakuno,〒629-1322 京都府福知山市夜久野町平野2150,https://stamp.funakiya.com/miti-yakuno.html,,,設置あり,35.33825444809642, 134.92954099847816
"POINT (140.41012933783568 35.69512238700627)",17939.0,道の駅風和里しばやま,Michinoeki Fuwari Shibayama,〒289-1624 千葉県山武郡芝山町小池2568,https://stamp.funakiya.com/miti-shibayama.html,,,設置あり,35.69512238700627, 140.41012933783568
"POINT (140.5015570672735 35.60184052175717)",17940.0,道の駅オライはすぬま,Michinoeki Orai Hasunuma,〒289-1806 千葉県山武市蓮沼ハ4826,https://stamp.funakiya.com/miti-hasunuma.html,,,設置あり,35.60184052175717, 140.5015570672735
"POINT (140.50605063293565 35.896287069425)",17942.0,道の駅水の郷さわら,Michinoeki Mizunosato Sawara,〒287-0003 千葉県香取市佐原イ3981-2,https://stamp.funakiya.com/miti-sawara.html,,,設置あり,35.896287069425, 140.50605063293565
"POINT (141.69453614365392 42.70000252224479)",18110.0,道の駅ウトナイ湖,Michinoeki Lake Utonai Station,〒059-1365 北海道苫小牧市植苗156-30,https://stamp.funakiya.com/miti-utonaiko.html,,,設置あり,42.70000252224479, 141.69453614365392
"POINT (141.9257600289145 42.574032392840195)",18112.0,道の駅むかわ四季の館,Michinoeki Mukawa Shiki-no-yakata Station,〒054-0042 北海道勇払郡むかわ町美幸3-3-1,https://stamp.funakiya.com/miti-mukawa.html,,,設置あり,42.574032392840195, 141.9257600289145
"POINT (142.31596334672057 42.35975599356699)",18113.0,道の駅サラブレッドロード新冠,Michinoeki Thoroughbred Road Niikappu Station,〒059-2402 北海道新冠郡新冠町中央町1-20,https://stamp.funakiya.com/miti-niikappu.html,,,設置あり,42.35975599356699, 142.31596334672057
